Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Thailand,...,...,Development,GDP (current US$ Mil),         455302.68,         411755.16,         401399.42,         407339.36,         420333.33,         397558.09,         370818.75,         341105.01,         281710.10,         291383.08,         262942.65,         221758.49,         189318.50,         172895.48,         152280.65,         134300.85,         120296.75,         126392.31,         126668.93,         113675.71,         150180.27,         183035.15,         169278.55,         146683.50,         128889.83,         111452.87,          98234.70,          85343.06,          72250.88,          61667.20
Thailand,...,...,Export,No. Of Export partners,,            226.00,            220.00,            228.00,            223.00,            223.00,            220.00,            219.00,            224.00,            217.00,            222.00,            219.00,            215.00,            221.00,            217.00,            218.00,            221.00,            221.00,            205.00,            199.00,            194.00,            197.00,            201.00,            195.00,            192.00,            174.00,            169.00,            163.00,            165.00,
Thailand,...,...,Export,No. Of Export products,,           4319.00,           4325.00,           4313.00,           4348.00,           4365.00,           4392.00,           4285.00,           4258.00,           4243.00,           4301.00,           4324.00,           4322.00,           4271.00,           4248.00,           4212.00,           4257.00,           4274.00,           4299.00,           4289.00,           4245.00,           4176.00,           4206.00,           4185.00,           4089.00,           3964.00,           3762.00,           3700.00,           3749.00,
Thailand,...,...,Import,No. Of Import partners,,            232.00,            219.00,            230.00,            230.00,            226.00,            226.00,            222.00,            220.00,            222.00,            213.00,            215.00,            211.00,            215.00,            218.00,            212.00,            212.00,            215.00,            194.00,            191.00,            187.00,            184.00,            179.00,            179.00,            175.00,            155.00,            141.00,            149.00,            144.00,            138.00
Thailand,...,...,Import,No. Of Import products,,           4487.00,           4495.00,           4480.00,           4493.00,           4497.00,           4515.00,           4504.00,           4484.00,           4507.00,           4529.00,           4697.00,           4698.00,           4699.00,           4672.00,           4670.00,           4697.00,           4672.00,           4683.00,           4696.00,           4785.00,           4785.00,           4783.00,           4774.00,           4707.00,           4661.00,           4640.00,           4626.00,           4598.00,           4598.00
Thailand,...,...,Tariff,No. Of Tariff Agreement,,,             14.00,             11.00,              1.00,,              2.00,              2.00,              2.00,              2.00,              2.00,              3.00,              3.00,              2.00,              2.00,,              2.00,              1.00,              2.00,,,,              1.00,,              1.00,,              1.00,,              1.00,
Thailand,...,...,Development,Trade Balance (current US$ Mil),          61653.31,          60797.87,          46222.49,          27547.49,          11874.57,           4101.75,           7543.99,          19517.42,          27066.19,           6981.03,          20697.05,           7237.61,          -1984.88,           7835.36,           9673.30,           8490.18,           7498.58,          10594.89,          15416.63,          17772.19,           2136.06,         -11416.46,         -11327.26,          -6989.07,          -5299.33,          -4468.92,          -6427.02,          -6416.52,          -1852.42,           -856.89
Thailand,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          10232.07,,,,,,,           8579.11,,,,,,,,,,,,,,,,,,,,,
Thailand,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          23571.96,          23311.43,          25084.37,          27238.22,          26899.63,          27402.40,          21473.20,          16123.83,          15997.87,          14872.55,          11774.18,           9134.20,           7097.95,           5701.48,           3554.36,           2862.72,           2816.30,,,,,,,,,,,,
Thailand,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          42250.60,          40919.10,          38498.34,          37726.63,          36956.54,          30581.15,          24239.37,          17028.92,          20045.77,          16979.86,          13617.18,          11157.87,           8187.81,           6065.21,           4932.10,           3715.83,           3369.10,           2494.98,,,,,,,,,,,
Thailand,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,           1591.77,           1479.66,           1427.69,           1468.76,           1188.28,            817.60,
Thailand,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,           2956.29,           3654.49,           3749.02,           3182.11,           2482.18,           2164.06,           2095.73,           1622.42,           1321.72,           1089.95
Thailand,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          11390.48,          11641.29,          12609.97,          13188.98,          13100.14,          16479.03,          13131.80,           9484.39,           9938.04,           8702.24,           7214.64,           6127.86,,           4326.66,           3684.18,           3294.51,           3475.21,           2974.75,           2791.20,           3468.88,           3240.39,           2920.72,           2385.40,           1958.68,           1507.07,           1347.89,,,
Thailand,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          20423.27,          19763.08,          21820.60,          22235.59,          23495.12,          24070.27,          20415.71,          15731.84,          19878.82,          18133.19,          16542.49,          15029.43,          13457.06,          11399.10,           9946.78,           9898.26,          10104.91,           8250.83,           7474.14,           8733.88,           9372.42,           9475.33,           7725.14,           6299.88,           5686.09,           5132.80,           3967.98,           3418.99,
Thailand,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          30862.00,          31134.91,          35710.53,          41082.11,          49579.95,          42162.11,          37856.13,          25023.29,          33420.40,          30032.90,          25842.61,          26049.68,          22381.17,          18260.39,          14889.17,          13811.06,          15285.32,          12253.49,          10179.96,          15974.35,          20444.74,          21622.12,          16435.08,          13961.98,          11906.78,          11036.72,          10143.53,           7813.40,           5886.60
Thailand,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           7311.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          10023.28,          12764.45,          13014.89,          12427.65,          12398.74,          10566.68,,,,,,           5297.01,,,,,,,           2505.59,           2015.13,,,,,,,,
Thailand,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          10953.12,          11875.18,          12745.92,          13247.48,          13105.84,          12326.06,          10708.90,           8575.32,           9677.68,           8679.78,           8462.14,           8088.42,           5550.55,           4536.79,           3642.94,           3077.18,           3342.14,           2511.47,           2187.04,           2972.95,           3606.23,,,,,,,,
