Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tonga,...,...,Development,GDP (current US$ Mil),            427.66,            401.12,            435.44,            443.91,            450.69,            472.36,            423.01,            369.49,            318.17,            349.48,            300.14,            294.14,            262.18,            229.36,            202.54,            182.74,            181.24,            202.36,            196.69,            188.69,            212.16,            219.58,            202.55,            193.78,            138.49,            137.07,            132.20,            113.56,            106.34,            106.66
Tonga,...,...,Export,No. Of Export partners,,,,             47.00,             51.00,             43.00,             31.00,             27.00,             21.00,             23.00,             19.00,             18.00,             25.00,             22.00,             23.00,             18.00,             23.00,             23.00,,,,,,,,,,,,
Tonga,...,...,Export,No. Of Export products,,,,            636.00,            719.00,            545.00,            281.00,            149.00,            153.00,            193.00,             26.00,             37.00,             30.00,             38.00,             27.00,             39.00,             46.00,             53.00,,,,,,,,,,,,
Tonga,...,...,Import,No. Of Import partners,,,,             86.00,             88.00,             82.00,             84.00,             71.00,             79.00,             75.00,             52.00,             50.00,             40.00,             41.00,             38.00,             39.00,             35.00,             36.00,,,,,,,,,,,,
Tonga,...,...,Import,No. Of Import products,,,,           2798.00,           2745.00,           2776.00,           2840.00,           2732.00,           2752.00,           2807.00,            766.00,            751.00,            731.00,            717.00,            733.00,            763.00,            761.00,            717.00,,,,,,,,,,,,
Tonga,...,...,Tariff,No. Of Tariff Agreement,,,,,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,
Tonga,...,...,Development,Trade Balance (current US$ Mil),           -224.18,           -187.75,           -207.71,           -180.26,           -190.31,           -206.64,           -191.96,           -176.76,           -158.98,           -126.58,           -137.32,           -109.18,           -102.16,            -85.46,            -75.43,            -67.63,            -58.20,            -49.74,            -39.16,            -74.91,            -64.78,            -83.50,            -77.70,            -56.03,            -38.30,            -34.74,            -49.78,            -35.46,            -40.09,            -46.94
Tonga,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.17,              0.41,              0.90,              1.10,              1.12,              0.50,,,,,,,,,,,,
Tonga,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.85,              1.87,,,              0.75,              0.58,              0.57,              0.38,              0.32,,              0.21,,,              0.29,,,,,,,,,,,,
Tonga,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             11.20,,,             14.60,             17.44,             17.91,             16.57,             14.63,             17.10,             22.05,             19.26,             17.01,             15.37,             17.50,,,,,,,,,,,,
Tonga,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             12.65,             12.97,,,,,              5.60,              4.42,              6.61,              2.43,,,,,,,,,,,,,,,
Tonga,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             17.06,             16.93,             15.95,             17.08,             16.08,             13.17,             14.99,             12.94,             32.80,             26.59,             17.78,             17.69,             11.85,             10.81,             10.34,,,,,,,,,,,,
Tonga,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.60,,,,,,,,,,,,,,
Tonga,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              3.35,,              2.02,              2.50,              3.64,              2.59,,,,,,,,,,,,,,,,,,,,,
Tonga,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.64,,,,,,,,,,,,,,,,,,,,
Tonga,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              2.05,              1.91,              1.97,              3.01,              0.88,              0.33,              1.17,              1.05,              3.91,              5.20,              6.86,              7.07,              5.85,              3.38,              3.95,,,,,,,,,,,,
Tonga,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             17.46,,,,,,,,,,,,              4.34,              2.66,              3.71,,,,,,,,,,,,
Tonga,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              0.83,,              1.11,,,,,,,,,,,,,,,,
Tonga,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              4.38,              4.16,              4.06,              2.81,              1.36,              2.01,              3.07,              2.68,              1.42,              1.35,              3.14,              1.26,              1.55,              1.02,              1.22,,,,,,,,,,,,
Tonga,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             62.42,             55.99,             59.66,             58.35,             50.63,             44.03,             46.99,             48.14,             38.60,             46.03,             38.32,             37.47,             35.19,             32.16,             25.49,,,,,,,,,,,,
Tonga,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              1.45,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              0.32,,,              0.35,,,,,,              0.39,,,,,,,,,,,,,
Tonga,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             46.10,             51.34,             45.74,             43.14,             32.46,             26.60,             42.68,             30.35,,,,,,,,,,,,,,,,,,,
Tonga,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              2.48,              1.80,              2.09,              1.55,              1.34,              1.25,              2.00,              2.47,              2.38,              2.41,              3.05,              6.34,              3.98,              0.42,              2.31,,,,,,,,,,,,
Tonga,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             23.68,             22.27,             25.75,             23.33,             20.59,             18.72,             15.56,             14.51,             11.40,             10.82,              9.00,              7.79,             10.43,              6.19,              7.19,,,,,,,,,,,,
Tonga,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              2.92,              3.02,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,         110141.59,         107382.00,         120514.49,         104042.51,          95352.38,,,,,,,,,,,,,,,,,,,,,
Tonga,World,Animal,Export,Export(US$ Mil),,,,              6.67,              3.63,              4.76,              4.75,              5.36,              4.36,              2.80,              2.86,              3.82,              2.63,              3.40,              4.71,              5.67,              1.29,              3.54,,,,,,,,,,,,
Tonga,World,Capital goods,Export,Export(US$ Mil),,,,              0.59,              1.08,              1.45,              0.03,              0.00,              0.12,              0.16,,              0.00,,,              0.02,              0.01,              0.00,              0.02,,,,,,,,,,,,
Tonga,World,Chemicals,Export,Export(US$ Mil),,,,              0.31,              0.35,              0.23,              0.30,              0.36,              0.28,              0.44,              0.38,              0.28,              0.11,              0.11,              0.09,              0.16,              0.35,              0.23,,,,,,,,,,,,
Tonga,World,Consumer goods,Export,Export(US$ Mil),,,,              4.50,              4.78,              2.39,              2.00,              1.20,              1.89,              0.76,              0.71,              0.73,              0.65,              1.23,              3.08,              1.46,              0.71,              0.49,,,,,,,,,,,,
Tonga,World,Food Products,Export,Export(US$ Mil),,,,              0.45,              0.19,              0.27,              0.12,              0.09,              0.12,              0.11,              0.08,              0.35,              0.13,              0.23,              0.00,              0.01,              0.00,              0.01,,,,,,,,,,,,
Tonga,World,Footwear,Export,Export(US$ Mil),,,,              0.00,              0.01,              0.00,              0.00,,,              0.00,,,,,,,,,,,,,,,,,,,,
Tonga,World,Fuels,Export,Export(US$ Mil),,,,              2.93,              3.04,              0.00,,,              0.00,              0.00,,,              0.00,,,,              0.00,              0.00,,,,,,,,,,,,
Tonga,World,Hides and Skins,Export,Export(US$ Mil),,,,              0.00,              0.22,              0.00,              0.00,,              0.00,,,,,,,,,              0.00,,,,,,,,,,,,
Tonga,World,Intermediate goods,Export,Export(US$ Mil),,,,              3.18,              1.17,              2.41,              1.43,              2.98,              2.23,              0.30,              0.00,              0.06,              0.05,              0.06,              0.04,              0.02,              0.04,              0.04,,,,,,,,,,,,
Tonga,World,Mach and Elec,Export,Export(US$ Mil),,,,              0.49,              0.99,              1.31,              0.03,              0.00,              0.01,              0.14,,              0.01,              0.00,,              0.00,              0.01,              0.00,              0.00,,,,,,,,,,,,
Tonga,World,Metals,Export,Export(US$ Mil),,,,              0.26,              0.44,              0.44,              0.46,              0.14,              0.16,              1.78,              0.12,              0.01,              0.05,              0.10,              0.07,              0.00,              0.01,              0.03,,,,,,,,,,,,
Tonga,World,Minerals,Export,Export(US$ Mil),,,,              0.00,              0.00,              0.00,              0.00,,,              0.02,,              0.00,              0.00,,              0.01,,              0.00,              0.00,,,,,,,,,,,,
Tonga,World,Miscellaneous,Export,Export(US$ Mil),,,,              0.14,              0.56,              0.54,              0.05,              0.04,              0.03,              0.10,              0.01,              0.18,              0.10,              0.22,              0.15,              0.02,              0.12,              0.14,,,,,,,,,,,,
Tonga,World,Plastic or Rubber,Export,Export(US$ Mil),,,,              0.07,              0.02,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,              0.00,              0.01,,,,,,,,,,,,
Tonga,World,Raw materials,Export,Export(US$ Mil),,,,             10.60,             10.05,              9.31,             10.89,              4.05,              3.54,              7.98,              3.77,              4.51,              6.06,              9.18,              8.09,              6.49,              4.45,              4.13,,,,,,,,,,,,
Tonga,World,Stone and Glass,Export,Export(US$ Mil),,,,              0.13,              0.09,              0.02,              0.00,              0.01,              0.00,              0.00,,              0.00,,,,,              0.00,              0.01,,,,,,,,,,,,
Tonga,World,Textiles and Clothing,Export,Export(US$ Mil),,,,              0.02,              0.08,              0.03,              0.01,              0.00,              0.00,              0.00,,              0.00,              0.00,,,              0.00,              0.00,              0.00,,,,,,,,,,,,
Tonga,World,Transportation,Export,Export(US$ Mil),,,,              0.11,              0.12,              0.45,              0.01,              0.00,              0.10,              0.04,,              0.00,,,,,              0.00,              0.03,,,,,,,,,,,,
Tonga,World,Vegetable,Export,Export(US$ Mil),,,,              6.78,              6.98,              6.16,              7.55,              2.03,              2.36,              3.72,              4.39,              4.67,              6.38,             10.88,             11.17,              7.80,              4.87,              4.74,,,,,,,,,,,,
