Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Trinidad and Tobago,...,...,Development,GDP (current US$ Mil),          22079.02,          22295.59,          24401.73,          27200.28,          26578.52,          25601.81,          25366.52,          22157.25,          19172.17,          27871.59,          21641.62,          18369.36,          15982.28,          13280.28,          11305.46,           9008.27,           8824.87,           8154.34,           6808.98,           6043.69,           5737.75,           5759.54,           5329.21,           4947.21,           4669.49,           5439.55,           5307.91,           5068.00,           4323.06,           4496.85
Trinidad and Tobago,...,...,Export,No. Of Export partners,,,            145.00,            146.00,            135.00,            139.00,            140.00,            131.00,            134.00,            130.00,            132.00,            124.00,            127.00,            127.00,            124.00,            130.00,            136.00,            116.00,            104.00,            103.00,             97.00,            102.00,            101.00,             94.00,            103.00,             95.00,            102.00,,,
Trinidad and Tobago,...,...,Export,No. Of Export products,,,           2483.00,           2399.00,           2113.00,           2431.00,           2367.00,           2279.00,           2393.00,           2479.00,           2492.00,           2599.00,           2702.00,           2655.00,           2692.00,           2696.00,           2790.00,           2670.00,           2693.00,           2108.00,           2023.00,           1990.00,           1572.00,           1510.00,           1782.00,           1703.00,           1659.00,,,
Trinidad and Tobago,...,...,Import,No. Of Import partners,,,            176.00,            182.00,            174.00,            174.00,            170.00,            164.00,            165.00,            164.00,            168.00,            159.00,            150.00,            144.00,            155.00,            147.00,            136.00,            139.00,            129.00,            129.00,            110.00,            112.00,            115.00,            109.00,            113.00,            114.00,            106.00,,,
Trinidad and Tobago,...,...,Import,No. Of Import products,,,           3777.00,           3752.00,           3732.00,           3752.00,           3681.00,           3691.00,           3729.00,           3769.00,           3796.00,           3930.00,           3944.00,           3941.00,           3977.00,           3950.00,           3936.00,           3984.00,           4007.00,           2763.00,           2706.00,           2701.00,           2170.00,           2141.00,           2653.00,           2627.00,           2702.00,,,
Trinidad and Tobago,...,...,Tariff,No. Of Tariff Agreement,,,,,              2.00,              2.00,              2.00,              2.00,,              5.00,              5.00,              5.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,,,              1.00,,,,              1.00,              3.00,,,
Trinidad and Tobago,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            726.20,            487.23,,,            632.59,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            373.56,            275.15,,,            468.14,            415.15,            212.91,            205.08,            178.56,            283.36,            206.07,            150.74,            126.78,             94.85,             89.51,             85.40,             70.52,             71.38,             63.63,             65.41,,,
Trinidad and Tobago,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            690.85,            679.29,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            574.84,            613.71,            466.47,,           1127.04,            814.82,            899.35,            771.34,            509.09,            354.94,            209.00,            199.93,,,,,,             69.95,             59.69,,,,,,
