Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tunisia,...,...,Development,GDP (current US$ Mil),          39952.10,          41808.38,          43152.53,          47632.33,          46251.06,          45044.11,          45810.63,          44050.93,          43454.94,          44856.59,          38908.07,          34378.44,          32273.01,          31183.14,          27453.08,          23142.29,          22066.10,          21473.19,          22943.69,          21803.37,          20746.36,          19587.32,          18030.88,          15632.46,          14608.95,          15497.29,          13074.78,          12290.57,          10102.08,          10096.29
Tunisia,...,...,Export,No. Of Export partners,            159.00,            163.00,            158.00,            164.00,            159.00,            156.00,            153.00,            153.00,            151.00,            159.00,            157.00,            153.00,            153.00,            141.00,            145.00,            143.00,            138.00,            138.00,            131.00,            129.00,            126.00,            123.00,            119.00,            115.00,            107.00,            106.00,            102.00,,,
Tunisia,...,...,Export,No. Of Export products,           2716.00,           2673.00,           2693.00,           2735.00,           2784.00,           2759.00,           2705.00,           2706.00,           2729.00,           2754.00,           2760.00,           2733.00,           2660.00,           2629.00,           2647.00,           2557.00,           2510.00,           2412.00,           2431.00,           2330.00,           2336.00,           2360.00,           2371.00,           2398.00,           2325.00,           2218.00,           2264.00,,,
Tunisia,...,...,Import,No. Of Import partners,            174.00,            171.00,            172.00,            177.00,            170.00,            169.00,            165.00,            179.00,            162.00,            172.00,            174.00,            171.00,            169.00,            171.00,            171.00,            169.00,            167.00,            157.00,            148.00,            139.00,            143.00,            138.00,            139.00,            131.00,            127.00,            121.00,            122.00,,,
Tunisia,...,...,Import,No. Of Import products,           4157.00,           4126.00,           4133.00,           4157.00,           4162.00,           4135.00,           4159.00,           4200.00,           4168.00,           4169.00,           4332.00,           4308.00,           4274.00,           4266.00,           4242.00,           4275.00,           4345.00,           4328.00,           4314.00,           4368.00,           4350.00,           4335.00,           4329.00,           4345.00,           4294.00,           4251.00,           4131.00,,,
Tunisia,...,...,Tariff,No. Of Tariff Agreement,,              1.00,             12.00,,             11.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              2.00,              4.00,              1.00,              1.00,              1.00,,              1.00,,              2.00,,,              1.00,,,              2.00,,,,
Tunisia,...,...,Development,Trade Balance (current US$ Mil),          -4953.17,          -4474.44,          -4689.54,          -5228.90,          -4401.61,          -4251.55,          -3420.02,          -2270.78,          -1276.38,          -1362.88,           -740.52,           -647.63,           -124.79,           -781.45,           -939.77,           -873.04,           -864.67,           -722.04,           -446.72,           -640.99,           -471.47,           -294.12,           -704.24,           -459.57,          -1098.64,          -1073.95,           -647.83,           -866.14,           -334.98,             36.37
Tunisia,Algeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            664.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Algeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1572.49,           1185.24,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            322.80,            296.81,            333.66,,,,,,,,,,,
