Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tuvalu,...,...,Development,GDP (current US$ Mil),             39.73,             36.57,             35.56,             37.29,             37.51,             37.67,             38.71,             31.82,             27.10,             30.29,             27.03,             22.90,             21.84,             21.53,             18.23,             15.45,             13.20,             13.74,             13.69,             12.76,             12.70,             12.33,             11.03,             10.89,              9.63,              9.74,              9.37,              8.82,,
Tuvalu,...,...,Export,No. Of Export partners,,,,,,,,,,,,,              4.00,              5.00,,              6.00,,,,,,,,,,,,,,
Tuvalu,...,...,Export,No. Of Export products,,,,,,,,,,,,,             34.00,             46.00,,             32.00,,,,,,,,,,,,,,
Tuvalu,...,...,Import,No. Of Import partners,,,,,,,,,,             28.00,,             25.00,             28.00,             34.00,,             35.00,             26.00,,             32.00,             29.00,             25.00,,,,,,,,,
Tuvalu,...,...,Import,No. Of Import products,,,,,,,,,,            608.00,,            507.00,            525.00,            546.00,,            568.00,            340.00,,            862.00,            895.00,            796.00,,,,,,,,,
Tuvalu,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.00,              0.00,,              0.03,,,,,,,,,,,,,,
Tuvalu,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              4.83,,              2.79,              4.35,              4.70,,              3.84,              0.73,,              3.09,              3.70,              2.40,,,,,,,,,
Tuvalu,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              0.66,              0.56,,              0.52,,,              0.16,              0.36,              0.19,,,,,,,,,
Tuvalu,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.05,              0.13,,              0.08,,,,,,,,,,,,,,
Tuvalu,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              6.29,,              2.35,              2.54,              2.70,,              3.25,              1.25,,              2.60,              3.42,              1.96,,,,,,,,,
Tuvalu,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.00,,,,,,,,,,,,,,,,,
Tuvalu,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              1.08,,,,,,,,,,,,,,,,,,
Tuvalu,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.01,,,,,,,,,,,,,,
Tuvalu,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              4.31,,,,              0.59,,              1.12,              0.25,,              0.49,              0.88,              1.04,,,,,,,,,
Tuvalu,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.00,,,,,,,,,,,,,,,,
Tuvalu,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.01,              0.00,,              0.02,,,,,,,,,,,,,,
Tuvalu,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              4.54,,              1.86,              1.28,              1.61,,              1.53,              0.53,,              0.91,              0.78,              0.61,,,,,,,,,
Tuvalu,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              2.80,,,,,,,,,,,,,,,,,,,,
Tuvalu,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              2.29,              2.26,,,,,,,,,,,,,,,,,
Tuvalu,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.00,,              0.00,,,,,,,,,,,,,,
Tuvalu,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,              0.43,,,,,,,,,,,,,
Tuvalu,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,              0.01,              0.05,,              0.05,,,,,,,,,,,,,,
Tuvalu,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,              0.00,              0.00,,              0.00,,,,,,,,,,,,,,
Tuvalu,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,              0.01,              0.07,,              0.00,,,,,,,,,,,,,,
