Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tanzania,...,...,Development,GDP (current US$ Mil),          52090.32,          47388.39,          45628.32,          48219.74,          44413.61,          39087.80,          33877.91,          31409.60,          28573.78,          27368.39,          21501.74,          18610.46,          16929.98,          12825.80,          11659.13,          10805.60,          10383.56,          10185.79,           9697.85,           9345.17,           7683.85,           6496.20,           5255.22,           4510.85,           4257.70,           4601.41,           4956.59,           4258.74,           4420.17,           5100.41
Tanzania,...,...,Export,No. Of Export partners,            151.00,            158.00,            155.00,            150.00,            158.00,            146.00,            149.00,            157.00,            146.00,            149.00,            138.00,            142.00,            135.00,            130.00,            132.00,            132.00,            127.00,            125.00,            121.00,            124.00,            102.00,,,,,,,,,
Tanzania,...,...,Export,No. Of Export products,           2096.00,           2167.00,           2156.00,           2362.00,           2330.00,           2424.00,           2343.00,           2230.00,           2130.00,           2149.00,           2125.00,           1992.00,           1927.00,           1965.00,           1308.00,           1142.00,           1128.00,            982.00,           2039.00,           2072.00,            869.00,,,,,,,,,
Tanzania,...,...,Import,No. Of Import partners,            178.00,            181.00,            187.00,            190.00,            173.00,            173.00,            174.00,            177.00,            182.00,            180.00,            167.00,            163.00,            168.00,            163.00,            166.00,            171.00,            164.00,            157.00,            138.00,            143.00,            159.00,            142.00,            139.00,,,,,,,
Tanzania,...,...,Import,No. Of Import products,           3957.00,           4023.00,           4014.00,           4101.00,           4063.00,           4075.00,           4102.00,           4027.00,           3993.00,           3976.00,           4085.00,           4166.00,           4123.00,           4138.00,           4187.00,           4113.00,           4058.00,           3935.00,           3954.00,           4070.00,           3901.00,           3883.00,           3732.00,,,,,,,
Tanzania,...,...,Tariff,No. Of Tariff Agreement,,              4.00,              4.00,              2.00,              2.00,              2.00,              2.00,              2.00,              4.00,              3.00,              5.00,              5.00,              5.00,,              3.00,,,              3.00,,              4.00,              1.00,,,,,,,,,
Tanzania,...,...,Development,Trade Balance (current US$ Mil),          -1235.69,          -1491.04,          -1438.61,          -5002.39,          -5959.51,          -4622.70,          -5177.33,          -3261.44,          -2544.25,          -3322.64,          -2744.76,          -1471.07,           -889.46,           -822.71,           -495.33,           -244.16,           -444.12,           -688.66,          -1001.27,          -1179.56,           -727.77,           -779.96,           -916.14,          -1037.99,          -1265.58,          -1238.32,          -1158.71,          -1057.59,,
Tanzania,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            141.05,,,,,,,,,,,,,
Tanzania,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            915.80,,,,,,            409.91,            509.16,,            160.33,,,,,,,,,,,,,,,
Tanzania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            354.23,            562.32,            683.95,            309.42,            525.02,            677.37,            656.69,            387.27,            270.44,            156.70,            149.22,             98.67,             71.60,,,,,,,,,,,,,,,,
Tanzania,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1504.30,           1638.49,           1853.93,           2046.63,           1595.86,           1162.89,           1056.32,            876.53,            692.07,            721.34,            415.92,            307.49,            222.73,            174.00,,,,,,,,,,,,,,,,
Tanzania,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            237.56,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,"Congo, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            291.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             80.27,            156.18,            138.51,             36.49,,,,,,,,,,,,
Tanzania,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            229.31,,,,,            112.78,,,,,,             60.15,             50.58,             36.72,             67.14,,,,,,,,,
