Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Uruguay,...,...,Development,GDP (current US$ Mil),          56156.97,          52687.61,          53274.30,          57236.01,          57531.23,          51264.39,          47962.44,          40284.48,          31660.91,          30366.21,          23410.57,          19579.46,          17362.86,          13686.33,          12045.63,          13606.49,          20898.79,          22823.26,          23983.95,          25385.93,          23969.82,          20515.54,          19297.66,          17474.65,          15002.11,          12878.20,          11205.97,           9298.84,           8438.95,           8213.52
Uruguay,...,...,Export,No. Of Export partners,            160.00,            156.00,            154.00,            164.00,            163.00,            165.00,            168.00,            166.00,            169.00,            169.00,            164.00,            154.00,            149.00,            145.00,            137.00,            139.00,            122.00,            123.00,            119.00,            120.00,            116.00,            114.00,            110.00,             96.00,,,,,,
Uruguay,...,...,Export,No. Of Export products,           1883.00,           1807.00,           1883.00,           1796.00,           1792.00,           1794.00,           1860.00,           1862.00,           1894.00,           1816.00,           1781.00,           1814.00,           1805.00,           1701.00,           1742.00,           1581.00,           1630.00,           1640.00,           1581.00,           1619.00,           1641.00,           1574.00,           1453.00,           1308.00,,,,,,
Uruguay,...,...,Import,No. Of Import partners,            160.00,            156.00,            149.00,            161.00,            161.00,            155.00,            155.00,            148.00,            144.00,            146.00,            143.00,            134.00,            130.00,            134.00,            128.00,            113.00,            124.00,            128.00,            117.00,            125.00,            108.00,            116.00,            103.00,            102.00,,,,,,
Uruguay,...,...,Import,No. Of Import products,           3872.00,           3931.00,           3907.00,           3967.00,           3952.00,           3943.00,           3934.00,           3915.00,           3934.00,           3925.00,           3911.00,           4028.00,           4031.00,           3971.00,           3896.00,           3925.00,           4120.00,           4092.00,           4136.00,           4190.00,           4146.00,           4174.00,           3961.00,           4109.00,,,,,,
Uruguay,...,...,Tariff,No. Of Tariff Agreement,             28.00,             56.00,             56.00,             54.00,             53.00,             51.00,             51.00,             55.00,             51.00,             51.00,             13.00,             13.00,             13.00,             13.00,,              1.00,              2.00,              2.00,              2.00,              1.00,              1.00,              3.00,              2.00,,,,,,,
Uruguay,...,...,Development,Trade Balance (current US$ Mil),           1757.00,            813.95,           -198.47,          -1146.04,          -1732.60,          -1651.68,           -193.16,            397.59,            254.56,          -1458.20,           -241.01,           -269.52,            335.16,            376.09,            374.09,            165.22,           -564.31,           -757.17,           -765.36,           -710.86,           -668.93,            -38.67,            -20.08,           -107.51,            -64.95,            105.87,            317.40,            505.46,            488.97,            354.99
Uruguay,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            437.07,            363.94,            380.34,            440.27,            493.24,            504.31,            588.31,            574.62,            346.64,            506.53,            445.72,            301.98,            267.10,            223.38,            155.22,            113.34,            316.37,            410.62,            368.67,            513.56,            354.28,            267.93,            267.09,            382.34,,,,,,
Uruguay,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1063.94,           1084.29,           1234.98,           1385.43,           1656.21,           1741.41,           2003.82,           1468.89,           1628.29,           2249.96,           1254.85,           1103.33,            785.72,            691.46,            571.68,            540.62,            705.79,            836.06,            795.37,            839.21,            790.70,            690.66,            608.59,            608.82,,,,,,
Uruguay,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1298.66,           1197.68,           1134.19,           1611.95,           1712.35,           1688.29,           1625.14,           1419.27,           1098.14,            987.98,            731.55,            584.26,            460.43,            483.83,            471.03,            431.79,            440.69,            530.03,            556.84,            935.06,            940.15,            908.35,            700.06,            493.45,,,,,,
