Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
St. Vincent and the Grenadines,...,...,Development,GDP (current US$ Mil),            785.22,            770.76,            755.46,            727.71,            721.21,            692.93,            676.13,            681.23,            674.92,            695.43,            684.45,            610.93,            550.73,            521.98,            481.81,            461.88,            430.04,            396.26,            390.72,            373.62,            347.77,            331.49,            316.01,            289.44,            286.31,            277.95,            254.83,            240.37,            214.75,            200.73
St. Vincent and the Grenadines,...,...,Export,No. Of Export partners,             43.00,             41.00,             40.00,             53.00,             55.00,             45.00,             42.00,             59.00,             50.00,             43.00,             43.00,             36.00,             41.00,             38.00,             36.00,             38.00,             35.00,             41.00,             37.00,             32.00,             35.00,,             35.00,             31.00,             33.00,,,,,
St. Vincent and the Grenadines,...,...,Export,No. Of Export products,            649.00,            593.00,            603.00,            691.00,            685.00,            647.00,            745.00,            817.00,            675.00,            602.00,            610.00,            592.00,            735.00,            545.00,            617.00,            571.00,            565.00,            603.00,            553.00,            564.00,            467.00,,            486.00,            516.00,            504.00,,,,,
St. Vincent and the Grenadines,...,...,Import,No. Of Import partners,            135.00,            139.00,            141.00,            143.00,            151.00,            153.00,            153.00,            164.00,            186.00,            166.00,            153.00,            118.00,            121.00,            115.00,            104.00,            108.00,            100.00,             98.00,             85.00,             79.00,             91.00,,             79.00,             91.00,             83.00,,,,,
St. Vincent and the Grenadines,...,...,Import,No. Of Import products,           2862.00,           2889.00,           2912.00,           2938.00,           2970.00,           3034.00,           3058.00,           3074.00,           3147.00,           3197.00,           3113.00,           3038.00,           3047.00,           2946.00,           3059.00,           2992.00,           3028.00,           2971.00,           3036.00,           3128.00,           2238.00,,           2157.00,           2154.00,           2205.00,,,,,
St. Vincent and the Grenadines,...,...,Tariff,No. Of Tariff Agreement,              5.00,              5.00,              3.00,,              2.00,              2.00,              1.00,              1.00,,,              2.00,              2.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,
St. Vincent and the Grenadines,...,...,Development,Trade Balance (current US$ Mil),           -157.07,           -155.85,           -124.07,           -191.29,           -233.27,           -210.73,           -193.82,           -205.99,           -195.74,           -220.65,           -189.90,           -113.86,            -90.65,            -87.68,            -68.54,            -36.51,            -33.52,            -21.06,            -62.79,            -91.60,            -80.60,            -37.05,            -38.20,            -57.81,            -43.44,            -23.72,            -41.51,            -22.10,            -46.73,            -11.78
St. Vincent and the Grenadines,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              5.38,              6.31,              6.49,              5.48,              5.70,              5.34,              4.54,              3.07,              3.86,,              3.79,              3.01,,              3.02,,              2.37,              2.54,,              3.29,              3.11,              4.16,,              3.76,              3.75,              3.74,,,,,
St. Vincent and the Grenadines,Antigua and Barbuda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             11.41,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              7.83,              7.44,              7.72,              7.65,              9.17,              6.18,              4.59,              4.70,              4.67,              5.58,              4.59,              5.29,              5.08,              4.78,              4.27,              4.48,              4.47,              4.16,              4.26,              3.12,,,,,,,,,,
St. Vincent and the Grenadines,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,              9.29,,,,,,             11.14,,             12.69,,              9.47,              8.93,              7.63,              7.08,              7.55,              7.28,              7.60,              8.28,,,              5.92,              5.12,              5.17,,,,,
St. Vincent and the Grenadines,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             19.12,,,,              9.94,,,,,,,,,,,              4.23,,,,,,,
St. Vincent and the Grenadines,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             19.18,             18.89,             18.18,             20.89,,             13.13,             13.52,             20.18,              9.93,,             11.05,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              5.80,              3.53,              4.21,              4.31,              3.83,              3.29,              3.25,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,Grenada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              6.19,              9.52,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             14.63,,,,             18.15,,,,,,,,,,,,             13.78,,,              7.62,              7.60,,,              8.00,              9.13,,,,,
St. Vincent and the Grenadines,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             12.07,,,,,,,,             10.33,,             10.50,             10.04,              8.33,,              6.33,,              5.97,              9.18,,              8.44,,,,,,,,,
St. Vincent and the Grenadines,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              3.38,,,,,,,,,,,,
St. Vincent and the Grenadines,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              6.87,              7.50,              7.83,              9.90,              8.46,             11.01,              8.54,              8.56,              9.06,              7.69,             10.74,              4.58,              4.36,              4.21,              3.93,              3.47,              3.63,              3.95,              4.32,              5.16,              6.31,,              6.82,              6.48,              6.83,,,,,
St. Vincent and the Grenadines,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              4.87,              6.76,              8.24,              7.79,              9.23,              6.75,              5.87,              6.67,             10.10,              9.11,              7.02,              5.62,              4.90,              3.62,              4.22,              3.92,              7.78,              4.84,              5.05,              5.44,              4.59,,              5.18,              5.25,              5.97,,,,,
