Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Venezuela,...,...,Development,GDP (current US$ Mil),,,,         482359.32,         371005.38,         381286.24,         316482.19,         393192.35,         329787.63,         315953.39,         230364.01,         183477.52,         145510.01,         112453.38,          83620.63,          92893.59,         122903.96,         117140.72,          97976.89,          91331.20,          85843.53,          70543.21,          77407.73,          58418.67,          60065.01,          60401.80,          53476.97,          48598.32,          43526.25,          60226.41
Venezuela,...,...,Export,No. Of Export partners,,,,,             80.00,             49.00,            112.00,            107.00,            121.00,            132.00,,            102.00,            121.00,            127.00,            130.00,            122.00,            117.00,            113.00,             98.00,            100.00,            105.00,            104.00,             92.00,             98.00,,,,,,
Venezuela,...,...,Export,No. Of Export products,,,,,           1628.00,            288.00,           1719.00,           1580.00,           1791.00,           2511.00,,           2109.00,           2769.00,           3041.00,           2919.00,           2892.00,           2690.00,           2780.00,           2667.00,           2798.00,           2953.00,           3034.00,           2902.00,           3074.00,,,,,,
Venezuela,...,...,Import,No. Of Import partners,,,,,            170.00,            175.00,            176.00,            175.00,            175.00,            170.00,            153.00,            135.00,            148.00,            134.00,            129.00,            140.00,            138.00,            127.00,            125.00,            122.00,            116.00,            107.00,            112.00,            109.00,,,,,,
Venezuela,...,...,Import,No. Of Import products,,,,,           4210.00,           4385.00,           4346.00,           4290.00,           4402.00,           4417.00,           4355.00,           4345.00,           4468.00,           4369.00,           4339.00,           4556.00,           4662.00,           4658.00,           4655.00,           4634.00,           4625.00,           4536.00,           4617.00,           4493.00,,,,,,
Venezuela,...,...,Tariff,No. Of Tariff Agreement,,,,,             53.00,             51.00,             51.00,             51.00,             50.00,             50.00,             21.00,             21.00,             20.00,             20.00,              1.00,              1.00,              2.00,              1.00,              2.00,              2.00,              1.00,,              5.00,,,,,,,
Venezuela,...,...,Development,Trade Balance (current US$ Mil),,,,         -70922.06,         -17614.61,           7391.09,          32432.80,          42952.02,          -7841.99,          31008.69,          13964.63,          26368.75,          27923.34,          19149.97,          14324.02,          11417.95,           4092.70,          13624.89,           3677.26,          -1605.99,           6243.39,          10367.16,           3963.42,           4841.35,           -129.53,          -1493.83,           2652.85,           9060.39,           5490.55,          -3892.31
Venezuela,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,           1808.27,,,,,,,,           1129.07,            818.22,            660.99,            969.32,            747.47,           1683.90,            568.14,,,,,,
Venezuela,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           4503.09,           5316.53,           4606.42,           3180.49,           3396.43,           4275.50,           3003.43,           2456.60,           1988.68,           1238.36,            555.49,            755.45,            974.98,            727.37,,            620.14,            628.30,            361.97,,,,,,,,
Venezuela,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            457.28,,,,,,,
Venezuela,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            110.10,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            254.07,,            492.22,            719.40,            304.01,,,,,,,,,,,,,,,,,,,,,
Venezuela,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           7645.22,          10095.93,           6496.96,           3593.33,           4034.46,           4527.52,           2076.29,           1652.37,,,,,,,,,,,,,,,,,,
