Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Wallis and Futura Isl.,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,...,...,Import,No. Of Import partners,,,,,,,,,,,,             80.00,             76.00,             74.00,             68.00,             70.00,             81.00,             85.00,,,,,,,,,,,,
Wallis and Futura Isl.,...,...,Import,No. Of Import products,,,,,,,,,,,,           1524.00,           1533.00,           1551.00,           1498.00,           1593.00,           1684.00,           1720.00,,,,,,,,,,,,
Wallis and Futura Isl.,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              6.05,             11.45,             11.84,             10.07,              9.06,              8.06,              8.26,,,,,,,,,,,,
Wallis and Futura Isl.,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              5.67,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              2.95,              2.67,              2.04,,,,,,,,,,,,,,,
Wallis and Futura Isl.,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             14.94,             16.22,             17.53,             13.08,             11.93,              9.63,             10.60,,,,,,,,,,,,
Wallis and Futura Isl.,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,              1.65,              1.83,              2.06,,,,,,,,,,,,
Wallis and Futura Isl.,New Caledonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              2.87,              3.40,              3.10,              2.90,              2.26,              2.40,,,,,,,,,,,,
Wallis and Futura Isl.,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              4.46,              4.32,              5.52,              4.14,              5.00,              4.65,              4.99,,,,,,,,,,,,
Wallis and Futura Isl.,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              7.41,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futura Isl.,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
