Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
South Africa,...,...,Development,GDP (current US$ Mil),         348871.65,         295746.60,         317536.83,         350636.21,         366643.22,         396327.88,         416418.87,         375349.44,         295936.49,         286769.84,         299415.51,         271638.48,         257671.41,         228937.35,         175256.92,         115748.11,         121600.82,         136361.85,         136631.97,         137774.36,         152586.15,         147607.98,         155460.29,         139752.45,         134309.76,         134545.23,         123943.43,         115553.28,         128902.68,         118331.51
South Africa,...,...,Export,No. Of Export partners,            223.00,            217.00,            217.00,            224.00,            219.00,            219.00,            222.00,            218.00,            211.00,            214.00,            214.00,            213.00,            214.00,            212.00,            209.00,            214.00,            210.00,            210.00,            203.00,            198.00,            194.00,            199.00,            194.00,            187.00,            177.00,            167.00,,,,
South Africa,...,...,Export,No. Of Export products,           4461.00,           4492.00,           4496.00,           4490.00,           4491.00,           4507.00,           4537.00,           4551.00,           4410.00,           4449.00,           4444.00,           4686.00,           4676.00,           4681.00,           4685.00,           4674.00,           4745.00,           4690.00,           4756.00,           4628.00,           4677.00,           4731.00,           4696.00,           4524.00,           4501.00,           4416.00,,,,
South Africa,...,...,Import,No. Of Import partners,            229.00,            227.00,            229.00,            227.00,            227.00,            224.00,            228.00,            227.00,            220.00,            225.00,            224.00,            223.00,            219.00,            219.00,            216.00,            217.00,            218.00,            214.00,            190.00,            194.00,            202.00,            192.00,            196.00,            174.00,            179.00,            163.00,,,,
South Africa,...,...,Import,No. Of Import products,           4452.00,           4481.00,           4481.00,           4483.00,           4492.00,           4496.00,           4513.00,           4523.00,           4456.00,           4482.00,           4470.00,           4723.00,           4689.00,           4721.00,           4700.00,           4671.00,           4744.00,           4752.00,           4772.00,           4549.00,           4756.00,           4837.00,           4819.00,           4791.00,           4743.00,           4758.00,,,,
South Africa,...,...,Tariff,No. Of Tariff Agreement,              9.00,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              4.00,              4.00,              3.00,              4.00,              4.00,              4.00,              4.00,              1.00,,              1.00,              3.00,,,              1.00,,,,,
South Africa,...,...,Development,Trade Balance (current US$ Mil),           4766.11,           1817.87,          -4090.06,          -5249.76,          -8429.41,          -5754.45,           3369.88,           4659.89,           1200.07,          -4647.15,          -3998.35,          -4697.93,           -659.09,           -329.31,           4150.59,           4395.00,           4800.83,           3927.20,           3454.78,           1534.11,           1723.31,           2204.08,           1026.44,           3045.79,           6080.12,           5274.19,           5137.80,           6132.65,           6630.11,           7437.93
South Africa,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           3712.23,,           4763.47,           4601.23,           5046.72,,           4174.50,,,,,,,,,,,,,,,,,,,,,,
South Africa,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8666.18,           6812.08,           7420.28,           8770.89,          12047.24,          10320.51,          12495.81,           8095.83,           5670.12,           4309.78,           4169.61,,,,,,,,,,,,,,,,,,,
South Africa,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          15223.93,          13536.72,          15671.11,          15439.06,          15987.39,          14615.57,          14207.82,          11501.07,           8325.31,           9909.27,           8562.75,           6879.46,           4945.61,           3574.93,           2210.57,           1359.40,,,,,,,,,,,,,,
South Africa,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5809.86,           5259.70,           5012.15,,,,           5468.36,           5494.74,           3512.74,           5748.89,           5106.03,           3944.25,           3329.70,           3236.55,           2439.81,           1883.69,           2357.85,           1900.02,           2192.61,           1665.37,           1413.05,           1307.49,           1402.06,,,           1032.66,,,,
