ISO 639-3	Population
xtw	
xtv	No known L1 speakers.
xtu	1,880 (2000 INALI). 70 monolinguals in San Miguel.
xtt	390 (2005 census). 60 monolinguals.
xts	34 (2005 census).
xtp	240 (2000 INALI). Ethnic population: 1,120 (1990 census).
xty	10,600 (2000 INALI).
xte	9,970 (2000).
xtd	3,410 (2000 INALI), decreasing. In rapid decline due to migration to the United States. 150 monolinguals.
xtc	75,000 (2004 SIL). 30,000 Katcha and Kadugli (2004), 4,000 Miri.
xtb	3,790 (2000 INALI). 30 monolinguals.
xta	10,000 (1994 SIL). 4,000 monolinguals.
xtn	5,790 (2000 INALI). 1,600 monolinguals.
xtm	7,350 (2005 census). 1,170 monolinguals (2000 census).
xtl	3,250 (2005 census). 420 monolinguals.
xtj	370 (2000 INALI). 35 monolinguals.
xti	1,110 (2005 census). 150 monolinguals.
xth	No known L1 speakers.
wji	77,700 (2000).
wja	60,000 (1989 U. Kleinewillinghöfer).
tmv	5,000 (1986 SIL).
txo	1,400 (2012 SIL).
txn	7,910 (2011 SIL), increasing. No monolinguals.
txm	30,000 (Himmelmann 2001).
txj	No known L1 speakers. Ethnic population: No ethnic community.
txi	310 (Moore 2006). Ethnic population: 340 (2006 FUNASA).
txe	25,000 (Himmelmann 2001).
txa	Ethnic population: 10,000 (2000 SIL). 3,000 Lingkabau.
txy	639,000 (2011 SIL).
txx	10,000 (2015 KadazanDusun Cultural Association), decreasing. Ethnic population: 22,000 (2015 KadazanDusun Cultural Association).
txu	7,100 (Moore 2006). 19 communities in regular contact with outsiders; also 3–4 isolated Kayapó groups of 30–100 people (Crevels 2007). 3,950 monolinguals.
txt	8,000 (1985 M. Stringer).
txs	90,000 (1989), decreasing.
txq	20,000 (2002 UKAW).
dne	100,000 (2000 D. Ngonyani).
dnd	170 (2003 SIL). Ethnic population: 170 (2000 census).
dng	56,300 (2009 census). Ethnic population: 58,100 (2009 census). Total users in all countries: 108,400.
dna	20,000 (1996).
dnn	13,400 (1998 P. Solomiac). 4,020 monolinguals.
dni	20,000 (1996 SIL).
dnk	20,000 (2002 UKAW).
dnj	1,300,000 (2012 V. Vydrin). 650,000 in Eastern Dan, 650,000 in western Dan. Total users in all countries: 1,534,800.
dnu	1,000 (Robinne 2000). Ethnic population: 5,000 (Robinne 2000).
dnt	50,000 (1990 UBS).
dnw	180,000 (1993 census).
dnv	100,000 (Bradley 2007a).
dnr	260 (2003 SIL).
dny	740 (Moore 2006). Ethnic population: 880 (2006 FUNASA).
jmx	20,000 (2005 census). Coicoyan Municipality: 6,150 speakers (2005). San Martin Peras Municipality: 10,000 speakers, plus 2,000 in Santa Cruz Yucucani, 2,000 in San José Yoxocaño. 9,000 monolinguals (2005 census). Coicoyan Municipality: 3,520 monolinguals (2005). San Martin Peras Municipality: 4,820 monolinguals.
jmr	3,000 (2003 GILLBT), increasing. Ethnic population: 5,000 (2003 GILLBT).
jms	1,000.
jmw	450 (2011 SIL). Speakers of other languages live at some of the Mouwase villages, especially Omati, and this may have skewed population figures. Speakers are widely scattered in bush villages, hamlets and squatter settlements.
jmi	1,000 (1995 CAPRO).
jmn	2,500 (2004). Total users in all countries: 6,500.
jml	40,000 (2001 SIL).
jmb	2,000 (1995 CAPRO).
jmc	300,000 (1992 UBS), increasing.
jma	750 (2001 SIL). 115 monolinguals.
jmd	25,000 (1991 SIL), decreasing. Ethnic population: 35,000 (1991 SIL).
czt	40,000 (1990 UBS).
czh	4,600,000 (2000 census).
czn	8,490 (2000 INALI). 2,000 monolinguals.
czo	3,100,000 (2000 census).
hod	No known L1 speakers.
hoe	1,500 (1998 R. Blench).
hob	810 (2000 D. Tryon).
hoc	1,040,000 (2001 census).
hoa	460 (1999 SIL).
hoo	15,500 (2002).
hol	23,100 (2000). Total users in all countries: 28,200.
hom	No known L1 speakers. No remaining speakers as of 1975.
hoj	2,460,000 (2001 census).
hoh	100 (1998 H. Mutzafi).
hoi	6 (Golla 2007). Ethnic population: 200 (Golla 2007).
hov	1,000 (1991 NTM).
how	140,000 (Bradley 2007b).
hot	2,300 (2000 census). Ethnic population: 2,350.
hor	No known L1 speakers.
hos	
hop	6,780 (2010 census), decreasing. 40 monolinguals. Ethnic population: 7,350 (Golla 2007).
hoz	3,000 (1995 SIL).
hoy	500 (2002 survey).
