Language	CULing-01-0	deepspin-02-1	uiuc-01-0
aka	0.972	1	0.999
ang	0.778	0.751	0.784
ast	0.992	0.997	0.993
aze	0.829	0.792	0.819
azg	0.944	0.939	0.952
bak	0.998	0.998	0.998
ben	0.999	1	0.999
bod	0.841	0.85	0.844
cat	0.998	0.998	0.998
ceb	0.883	0.874	0.874
cly	0.89	0.885	0.918
cpa	0.901	0.881	0.923
cre	0.73	0.665	0.703
crh	0.991	0.992	0.993
ctp	0.635	0.552	0.625
czn	0.816	0.846	0.846
dak	0.956	0.945	0.949
dan	0.748	0.661	0.73
deu	0.977	0.991	0.98
dje	1	1	1
eng	0.963	0.97	0.969
est	0.953	0.948	0.952
evn	0.58	0.59	0.583
fas	0.999	1	0.999
fin	0.996	0.998	0.997
frm	0.997	0.998	0.998
frr	0.901	0.868	0.876
fur	0.997	0.997	0.997
gaa	0.988	1	0.97
glg	0.998	0.998	0.998
gmh	0.957	0.943	0.929
gml	0.675	0.604	0.584
gsw	0.914	0.919	0.932
hil	0.962	0.954	0.966
hin	0.999	1	1
isl	0.966	0.974	0.976
izh	0.871	0.897	0.875
kan	0.781	0.757	0.761
kaz	0.977	0.978	0.98
kir	0.982	0.979	0.988
kjh	1	0.996	0.996
kon	0.981	0.987	0.987
kpv	0.969	0.971	0.969
krl	0.993	0.995	0.995
lin	1	1	1
liv	0.945	0.953	0.955
lld	0.992	0.998	0.995
lud	0.366	0.646	0.329
lug	0.925	0.895	0.928
mao	0.643	0.619	0.524
mdf	0.936	0.938	0.936
mhr	0.932	0.938	0.926
mlg	0.992	1	1
mlt	0.952	0.941	0.966
mwf	0.919	0.833	0.878
myv	0.941	0.942	0.941
nld	0.99	0.992	0.995
nno	0.859	0.892	0.866
nob	0.764	0.76	0.748
nya	0.996	1	1
olo	0.941	0.952	0.945
ood	0.809	0.806	0.825
orm	0.99	0.99	0.98
ote	0.986	0.99	0.991
otm	0.969	0.98	0.98
pei	0.724	0.694	0.742
pus	0.922	0.9	0.914
san	0.929	0.927	0.934
sme	0.997	0.997	0.997
sna	1	1	1
sot	0.99	1	0.98
swa	1	1	1
swe	0.987	0.995	0.99
syc	0.947	0.925	0.945
tel	0.96	0.956	0.945
tgk	0.938	0.938	0.563
tgl	0.738	0.672	0.751
tuk	0.849	0.842	0.856
udm	0.986	0.988	0.984
uig	0.995	0.996	0.997
urd	0.994	0.995	0.994
uzb	0.986	0.966	0.995
vec	0.996	0.996	0.997
vep	0.834	0.807	0.833
vot	0.861	0.875	0.843
vro	0.699	0.67	0.631
xno	0.961	0.961	0.922
xty	0.935	0.913	0.917
zpv	0.868	0.864	0.855
zul	0.859	0.923	0.923
