name	literacyRate	pop2020
North Korea	100	25778.8160
Latvia	99.9000	1886.1980
Ukraine	99.8000	43733.7620
Tajikistan	99.8000	9537.6450
Poland	99.8000	37846.6110
Lithuania	99.8000	2722.2890
Kazakhstan	99.8000	18776.7070
Azerbaijan	99.8000	10139.1770
Georgia	99.8000	3989.1670
Estonia	99.8000	1326.5350
Cuba	99.8000	11326.6160
Turkmenistan	99.7000	6031.2000
Slovenia	99.7000	2078.9380
Russia	99.7000	145934.4620
Armenia	99.7000	2963.2430
Belarus	99.7000	9449.3230
Uzbekistan	99.6000	33469.2030
Palau	99.5000	18.0940
Kyrgyzstan	99.5000	6524.1950
Tonga	99.4000	105.6950
Moldova	99.4000	4033.9630
Maldives	99.3000	540.5440
Croatia	99.3000	4105.2670
Italy	99.2000	60461.8260
Hungary	99.1000	9660.3510
Cyprus	99.1000	1207.3590
Samoa	99	198.4140
Trinidad and Tobago	99	1399.4880
Antigua and Barbuda	99	97.9290
Czech Republic	99	10708.9810
Cayman Islands	98.9000	65.7220
Romania	98.8000	19237.6910
Montenegro	98.7000	628.0660
Uruguay	98.5000	3473.7300
Bosnia and Herzegovina	98.5000	3280.8190
Taiwan	98.5000	23816.7750
Mongolia	98.4000	3278.2900
Bulgaria	98.4000	6948.4450
Spain	98.1000	46754.7780
Serbia	98.1000	8737.3710
Argentina	98.1000	45195.7740
Israel	97.8000	8655.5350
Costa Rica	97.8000	5094.1180
Greece	97.7000	10423.0540
Albania	97.6000	2877.7970
Aruba	97.5000	106.7660
Chile	97.5000	19116.2010
Qatar	97.3000	2881.0530
New Caledonia	96.9000	285.4980
Singapore	96.8000	5850.3420
Thailand	96.7000	69799.9780
Palestine	96.5000	5101.4140
China	96.4000	1439323.7760
Venezuela	96.3000	28435.9400
Philippines	96.3000	109581.0780
Kuwait	96.3000	4270.5710
Macau	96.2000	649.3350
Brunei	96	437.4790
Bolivia	95.7000	11673.0210
Portugal	95.7000	10196.7090
Bahrain	95.7000	1701.5750
Suriname	95.6000	586.6320
Jordan	95.4000	10203.1340
Equatorial Guinea	95.3000	1402.9850
Mexico	95.1000	128932.7530
Turkey	95	84339.0670
Panama	95	4314.7670
Saudi Arabia	94.7000	34813.8710
Colombia	94.7000	50882.8910
Malaysia	94.6000	32365.9990
Vietnam	94.5000	97338.5790
Peru	94.5000	32971.8540
Ecuador	94.5000	17643.0540
Malta	94.4000	441.5430
South Africa	94.3000	59308.6900
Paraguay	93.9000	7132.5380
Lebanon	93.9000	6825.4450
Indonesia	93.9000	273523.6150
United Arab Emirates	93.8000	9890.4020
Puerto Rico	93.3000	2860.8530
Myanmar	93.1000	54409.8000
Brazil	92.6000	212559.4170
Sri Lanka	92.6000	21413.2490
Seychelles	91.8000	98.3470
Dominican Republic	91.8000	10847.9100
Oman	91.1000	5106.6260
Libya	91	6871.2920
Mauritius	90.6000	1271.7680
Jamaica	88.7000	2961.1670
Botswana	88.5000	2351.6270
Honduras	88.5000	9904.6070
Guyana	88.5000	786.5520
El Salvador	88	6486.2050
Cape Verde	87.6000	555.9870
Iran	86.8000	83992.9490
Zimbabwe	86.5000	14862.9240
Syria	86.4000	17500.6580
Burundi	85.6000	11890.7840
Vanuatu	85.2000	307.1450
Solomon Islands	84.1000	686.8840
Gabon	83.2000	2225.7340
Nicaragua	82.8000	6624.5540
Namibia	81.9000	2540.9050
Tunisia	81.8000	11818.6190
Guatemala	81.5000	17915.5680
Algeria	80.2000	43851.0440
Laos	79.9000	7275.5600
Iraq	79.7000	40222.4930
Lesotho	79.4000	2142.2490
Republic of the Congo	79.3000	5518.0870
Uganda	78.4000	45741.0070
Kenya	78	53771.2960
Comoros	77.8000	869.6010
Cambodia	77.2000	16718.9650
Ghana	76.6000	31072.9400
Sudan	75.9000	43849.2600
Cameroon	75	26545.8630
Egypt	73.8000	102334.4040
Eritrea	73.8000	3546.4210
India	71.2000	1380004.3850
Angola	71.1000	32866.2720
Tanzania	70.6000	59734.2180
Rwanda	70.5000	12952.2180
Yemen	70.1000	29825.9640
Morocco	68.5000	36910.5600
Timor-Leste	67.5000	1318.4450
Togo	66.5000	8278.7240
Malawi	65.8000	19129.9520
Bhutan	64.9000	771.6080
Madagascar	64.7000	27691.0180
Papua New Guinea	64.2000	8947.0240
Nepal	63.9000	29136.8080
DR Congo	63.8000	89561.4030
Zambia	63.4000	18383.9550
Bangladesh	61.5000	164689.3830
Haiti	60.7000	11402.5280
Guinea-Bissau	59.9000	1968.0010
Nigeria	59.6000	206139.5890
Mozambique	58.8000	31255.4350
Pakistan	57.9000	220892.3400
Senegal	57.7000	16743.9270
Gambia	55.5000	2416.6680
Mauritania	52.1000	4649.6580
Ethiopia	49.1000	114963.5880
Sierra Leone	48.1000	7976.9830
Liberia	47.6000	5057.6810
Ivory Coast	43.1000	26378.2740
Chad	40.2000	16425.8640
Mali	38.7000	20250.8330
Benin	38.4000	12123.2000
Afghanistan	38.2000	38928.3460
Central African Republic	36.8000	4829.7670
Burkina Faso	36	20903.2730
Guinea	30.4000	13132.7950
South Sudan	27	11193.7250
Niger	19.1000	24206.6440
