abi	Côte d'Ivoire
ace	Indonesia
acr	Guatemala
acd	Ghana
ach	Uganda
acm	Iraq
acn	China
quc	Guatemala
quc	Guatemala
acu	Peru
ade	Togo
adh	Uganda
adj	Côte d'Ivoire
aeu	China
agn	Philippines
agr	Peru
agu	Guatemala
ahk	Laos
aia	Solomon Islands
aka	Ghana
ake	Guyana
akp	Ghana
alj	Philippines
alp	Indonesia
alt	Russia
alz	Democratic Republic of the Congo
amf	Ethiopia
amk	Indonesia
ann	Nigeria
anv	Cameroon
apd	Sudan
apr	Papua New Guinea
arb	Saudi Arabia
arz	Egypt
atg	Nigeria
atq	Indonesia
ava	Azerbaijan
avn	Ghana
avu	South Sudan
awa	India
awb	Papua New Guinea
ayr	Bolivia
ayr	Bolivia
azj	Azerbaijan
azg	Mexico
azz	Mexico
bak	Russia
bam	Mali
ban	Indonesia
bav	Cameroon
bba	Benin
bbo	Mali
bcl	Philippines
bcw	Cameroon
beh	Benin
bep	Indonesia
bex	South Sudan
bfa	South Sudan
bfd	Cameroon
bfo	Burkina Faso
bgr	India
bhz	Indonesia
bib	Ghana
bim	Ghana
bis	Vanuatu
biv	Côte d'Ivoire
bjv	Chad
bkv	Nigeria
blt	Laos
blz	Indonesia
bmq	Mali
bmv	Cameroon
ben	Bangladesh
ben	Bangladesh
ben	Bangladesh
boa	Colombia
boj	Papua New Guinea
bov	Ghana
box	Burkina Faso
bpr	Philippines
bps	Philippines
bqc	Benin
bqj	Senegal
bqp	Nigeria
bru	Laos
bss	Cameroon
btd	Indonesia
bts	Indonesia
btt	Nigeria
btx	Indonesia
bud	Togo
bus	Nigeria
bwq	Burkina Faso
bwu	Ghana
bzh	Papua New Guinea
bzj	Belize
cak	Guatemala
caa	Guatemala
cab	Honduras
cac	Guatemala
cak	Guatemala
cap	Bolivia
car	Suriname
cax	Bolivia
cbs	Brazil
cbt	Peru
cbv	Colombia
cce	Mozambique
ceb	Philippines
ceg	Paraguay
cgc	Philippines
che	Russia
cmn	China
chv	Russia
chz	Mexico
cjp	Costa Rica
cak	Guatemala
cak	Guatemala
cak	Guatemala
cko	Togo
cak	Guatemala
cle	Mexico
cme	Burkina Faso
cmo	Cambodia
cmr	Myanmar
cme	Burkina Faso
cni	Peru
cnk	India
cnl	Mexico
cac	Guatemala
cnt	Mexico
coe	Colombia
cok	Mexico
con	Ecuador
crh	Ukraine
crn	Mexico
csk	Senegal
cso	Mexico
ctd	Myanmar
ctu	Mexico
cuc	Mexico
cui	Colombia
cuk	Panama
cwe	Tanzania
cwt	Senegal
cya	Mexico
dni	Indonesia
dni	Indonesia
daa	Chad
dah	Papua New Guinea
dbq	Cameroon
des	Brazil
dga	Ghana
dgi	Burkina Faso
dik	South Sudan
djk	Suriname
acf	Dominica
dop	Benin
dsh	Ethiopia
dtp	Malaysia
dts	Mali
dug	Kenya
dwr	Ethiopia
dyi	Côte d'Ivoire
dyo	Senegal
dyu	Burkina Faso
dyu	Burkina Faso
eka	Nigeria
emp	Colombia
eng	United Kingdom
enb	Kenya
kan	India
ese	Bolivia
ess	United States of America
eus	France
ewe	Togo
ewe	Togo
fal	Cameroon
far	Solomon Islands
fij	Fiji
fin	Finland
izr	Nigeria
cfm	India
fon	Benin
frd	Indonesia
fra	France
fra	France
fuf	Guinea
fuq	Niger
gag	Romania
gag	Romania
gbi	Indonesia
gde	Nigeria
gej	Togo
gil	Kiribati
gkn	Nigeria
gmv	Ethiopia
gng	Togo
gnw	Bolivia
gof	Ethiopia
gof	Ethiopia
gog	Tanzania
gor	Indonesia
gqr	Chad
gso	Central African Republic
gur	Burkina Faso
gub	Brazil
gud	Côte d'Ivoire
gug	Paraguay
guh	Colombia
gui	Bolivia
gum	Colombia
guo	Colombia
guq	Paraguay
gur	Burkina Faso
gux	Burkina Faso
gvc	Brazil
gvl	Chad
gwr	Uganda
gym	Panama
gyr	Bolivia
hae	Ethiopia
hag	Ghana
hak	China
hat	Haiti
hau	Nigeria
hay	Tanzania
heb	Israel
tlx	Papua New Guinea
hif	Fiji
hig	Nigeria
hil	Philippines
hin	India
hne	India
hnn	Philippines
hns	Suriname
hto	Colombia
hub	Peru
hui	Papua New Guinea
hus	Mexico
huu	Colombia
huv	Mexico
iba	Malaysia
icr	Colombia
ifa	Philippines
ifb	Philippines
ife	Togo
ifk	Philippines
ifu	Philippines
ify	Philippines
ign	Bolivia
ilo	Philippines
inb	Colombia
ind	Indonesia
ind	Indonesia
ind	Indonesia
ipi	Papua New Guinea
iri	Nigeria
irk	Tanzania
itv	Philippines
ixl	Guatemala
ixl	Guatemala
ixl	Guatemala
jac	Guatemala
jac	Guatemala
jam	Jamaika
jav	Indonesia
jbu	Nigeria
jic	Honduras
jiv	Ecuador
jmc	Tanzania
jun	India
jvn	Suriname
kaa	Uzbekistan
kab	Algeria
kac	Myanmar
kao	Mali
knt	Brazil
kaz	Uzbekistan
kbp	Togo
kbr	Ethiopia
kcg	Nigeria
keu	Togo
kdc	Tanzania
kdi	Uganda
kdj	Uganda
kdn	Zimbabwe
kek	Guatemala
kek	Guatemala
ken	Cameroon
keo	Democratic Republic of the Congo
ker	Chad
kez	Nigeria
khk	Mongolia
kia	Chad
kia	Chad
kij	Papua New Guinea
kjb	Guatemala
kje	Indonesia
kjh	Russia
kki	Tanzania
kkj	Central African Republic
kle	Nepal
kmy	Cameroon
khm	Cambodia
kmr	Iraq
kne	Philippines
knf	Guinea-Bissau
knj	Guatemala
knk	Guinea
kno	Sierra Leone
kog	Colombia
kpv	Russia
kpz	Uganda
kqe	Philippines
kqp	Chad
kqy	Ethiopia
krc	Russia
kri	Guinea
krj	Philippines
kru	India
ksb	Tanzania
ktb	Ethiopia
ktj	Côte d'Ivoire
kub	Nigeria
kue	Papua New Guinea
kum	Russia
kus	Ghana
kvn	Panama
kwi	Colombia
kxc	Ethiopia
kyc	Papua New Guinea
kyf	Côte d'Ivoire
kyq	Chad
kyz	Brazil
kzf	Indonesia
laj	Uganda
lao	Laos
las	Togo
law	Indonesia
lee	Burkina Faso
lef	Ghana
lem	Cameroon
lew	Indonesia
lex	Indonesia
lgg	Uganda
lhu	Myanmar
lia	Sierra Leone
lip	Ghana
ljp	Indonesia
lln	Chad
lme	Chad
lnd	Malaysia
lob	Burkina Faso
lok	Sierra Leone
lon	Malawi
lsi	Myanmar
lsm	Uganda
lat	Vatican City
luc	Uganda
lwo	South Sudan
maa	Mexico
maa	Mexico
mad	Indonesia
mag	India
mah	Marshall Islands
mai	India
maj	Mexico
mak	Indonesia
mam	Guatemala
mar	India
maw	Ghana
maz	Mexico
mbb	Philippines
mbt	Philippines
mca	Paraguay
mcb	Peru
mcd	Peru
mco	Mexico
mcp	Cameroon
mcq	Papua New Guinea
mcu	Cameroon
mda	Nigeria
mdy	Ethiopia
mej	Indonesia
men	Sierra Leone
meq	Cameroon
mfq	Togo
mfe	Mauritius
mfh	Cameroon
mfi	Nigeria
mfk	Cameroon
mfq	Togo
mfy	Mexico
mfz	South Sudan
mgd	South Sudan
mgo	Cameroon
mhi	Uganda
mos	Burkina Faso
mos	Burkina Faso
mhx	China
mhy	Indonesia
mib	Mexico
mif	Cameroon
mil	Mexico
min	Indonesia
mio	Mexico
miq	Honduras
mit	Mexico
miy	Mexico
mal	India
mam	Guatemala
mnb	Indonesia
mnf	Cameroon
mnk	Senegal
moa	Côte d'Ivoire
mog	Indonesia
mop	Belize
mor	Sudan
mpg	Chad
mpm	Mexico
mpx	Papua New Guinea
mqb	Cameroon
mqj	Indonesia
mrw	Philippines
msy	Papua New Guinea
muh	South Sudan
mup	India
mur	South Sudan
muy	Cameroon
mam	Guatemala
mam	Guatemala
mvp	Indonesia
mwv	Indonesia
mww	Vietnam
mxb	Mexico
mxt	Mexico
myb	Chad
myk	Mali
myx	Uganda
myy	Colombia
mza	Mexico
mzk	Nigeria
mzm	Nigeria
nan	China
nas	Papua New Guinea
nch	Mexico
ncj	Mexico
ncu	Ghana
ndz	South Sudan
neb	Côte d'Ivoire
new	Nepal
nfr	Ghana
ngu	Mexico
nhx	Mexico
nhe	Mexico
nhi	Mexico
nhu	Cameroon
nhw	Mexico
nia	Indonesia
nij	Indonesia
nim	Tanzania
nin	Nigeria
nko	Ghana
nlc	Indonesia
nmz	Ghana
nnb	Democratic Republic of the Congo
nnw	Burkina Faso
nod	Thailand
nog	Russia
not	Peru
npy	Indonesia
nsu	Mexico
ntm	Benin
ntr	Ghana
nuj	Uganda
nus	South Sudan
nwb	Côte d'Ivoire
nyf	Kenya
nyn	Uganda
nyo	Uganda
nyy	Malawi
nzi	Côte d'Ivoire
obo	Philippines
ojc	Canada
oku	Cameroon
old	Tanzania
omw	Papua New Guinea
oss	Russia
ote	Mexico
ozm	Cameroon
pab	Brazil
pad	Brazil
pag	Philippines
pam	Philippines
pau	Palau
pbb	Colombia
pbc	Guyana
pbi	Cameroon
pcm	Nigeria
pes	Iran
pir	Brazil
pis	Solomon Islands
pkb	Kenya
pls	Mexico
plw	Philippines
pmf	Indonesia
poh	Guatemala
poe	Mexico
poh	Guatemala
poh	Guatemala
poi	Mexico
pol	Poland
por	Portugal
por	Portugal
por	Portugal
por	Portugal
ppk	Indonesia
prf	Philippines
prs	Pakistan
pse	Indonesia
ptu	Indonesia
pui	Colombia
pww	Thailand
pxm	Mexico
qvh	Peru
quc	Guatemala
qub	Peru
quc	Guatemala
quf	Peru
quh	Bolivia
quh	Bolivia
quc	Guatemala
qul	Bolivia
qup	Peru
quc	Guatemala
quw	Ecuador
quy	Peru
quz	Peru
qvc	Peru
qvm	Peru
qvn	Peru
qvo	Ecuador
qvs	Peru
qvw	Peru
qvz	Ecuador
qwh	Peru
qxh	Peru
qxl	Ecuador
qxn	Peru
qxo	Peru
qxr	Ecuador
rav	Nepal
rej	Indonesia
rim	Tanzania
rmc	Hungary
rmo	Germany
rmy	Hungary
ron	Romania
rug	Solomon Islands
run	Burundi
rus	Russia
sab	Panama
sag	Central African Republic
sas	Indonesia
sba	Chad
xsb	Philippines
sda	Indonesia
seh	Mozambique
sey	Ecuador
sgb	Philippines
sgw	Ethiopia
shi	Morocco
shk	South Sudan
shp	Peru
sig	Ghana
sil	Ghana
sja	Colombia
sld	Burkina Faso
sml	Philippines
smo	Samoa
snn	Colombia
snw	Ghana
som	Somalia
soy	Togo
spa	Spain
spa	Spain
spa	Spain
spa	Spain
spa	Spain
spp	Mali
spy	Kenya
sri	Colombia
srm	France
srn	Suriname
stn	Solomon Islands
sua	Papua New Guinea
sun	Indonesia
sur	Nigeria
sus	Guinea
suz	Nepal
swe	Sweden
swe	Sweden
sxn	Philippines
taj	Nepal
taq	Burkina Faso
tby	Indonesia
tbz	Benin
tca	Colombia
tcc	Tanzania
tam	India
tel	India
tem	Sierra Leone
teo	Uganda
ter	Brazil
tfr	Costa Rica
tgk	Tajikistan
tgl	Philippines
tgo	Papua New Guinea
tgp	Vanuatu
tha	Thailand
thk	Kenya
tik	Cameroon
tir	Eritrea
tlb	Indonesia
tlj	Democratic Republic of the Congo
tmc	Chad
tna	Bolivia
tob	Argentina
toc	Mexico
toh	Mozambique
tos	Mexico
tpi	Papua New Guinea
tpm	Ghana
tpp	Mexico
tpt	Mexico
tur	Turkey
tur	Turkey
trs	Mexico
tso	Mozambique
tsz	Mexico
ttc	Mexico
tat	Russia
tuo	Brazil
tue	Brazil
tuf	Colombia
tuo	Brazil
twb	Philippines
twu	Indonesia
txa	Malaysia
txu	Brazil
tyv	Russia
tzh	Mexico
tzo	Mexico
tzo	Mexico
tzh	Mexico
tzj	Guatemala
udm	Russia
udu	Ethiopia
uig	China
ura	Peru
urb	Brazil
urd	Pakistan
ury	Indonesia
vie	Vietnam
vmw	Mozambique
vun	Tanzania
wmw	Mozambique
xal	Russia
xed	Nigeria
xmm	Indonesia
xon	Ghana
xog	Uganda
xrb	Burkina Faso
xsb	Philippines
xsm	Burkina Faso
xsm	Burkina Faso
xsr	Nepal
xsu	Venezuela
xtd	Mexico
xtm	Mexico
xuo	Chad
yaz	Nigeria
ycl	China
yua	Mexico
yue	China
zyp	Myanmar
