LANGID	CODE	Language (Wikipedia Link)	Pass0 #utt	MCD	Pass1 #utt	MCD	Duration	RFS #utt	base	rfs
ABIWBT	abi	Abidji	4482	7.75	10538	6.27	16:18:58	2000	5.09	4.94
AC1IBS	ace	Aceh	6674	7.71	12881	6.51	23:46:27	2000	5.42	5.31
ACCIBS	acr	Achi de Cubulco	11121	7.07	15777	6.15	18:04:57	2000	5.15	4.94
ACDWBT	acd	Gikyode	1901	8.16	14091	7.73	27:39:10	2000	5.99	5.78
ACHBSU	ach	Acholi	7128	7.35	8287	6.80	14:40:52	2000	5.73	5.60
ACMAS3	acm	العربية	671	8.38	1373	8.29	03:48:00	1168	8.38	8.08
ACNBSM	acn	Ngochang	8645	6.91	12382	6.14	24:17:44	2000	5.38	5.27
ACRWB1	quc	Achí	9593	7.82	16029	6.56	23:02:50	2000	5.46	5.31
ACRWBT	quc	Achí	9670	7.96	12005	7.62	21:28:24	2000	5.79	5.65
ACUTBL	acu	Achuar-Shiwiar	18494	6.32	21189	6.24	32:42:58	2000	4.44	4.34
ADETBL	ade	Adele	2470	7.86	10633	6.88	22:41:41	2000	6.08	5.86
ADHBSU	adh	Dhopadhola	7815	7.32	11378	6.52	19:38:51	2000	5.59	5.37
ADJWBT	adj	Adioukrou	2505	8.59	4273	7.42	06:43:23	2000	6.69	6.41
AEUWBT	aeu	Akeu	6711	7.39	10600	6.94	23:29:49	2000	4.32	4.22
AGNWPS	agn	Agutaynen	11718	7.09	14433	6.08	24:30:40	2000	4.94	4.83
AGRTBL	agr	Awajun	12266	6.81	14331	6.43	26:12:32	2000	5.35	5.24
AGUNVS	agu	Aguacateco	16911	6.40	18461	5.81	22:32:02	2000	4.78	4.64
AHKTBS	ahk	Akha	2389	7.49	10973	6.98	21:42:30	2000	5.53	5.39
AIAWYI	aia	Arosi	11276	6.69	13896	5.59	23:35:33	2000	4.53	4.44
AK1BSG	aka	Akan: Akuapem	7628	8.00	8364	7.81	14:30:19	2000	5.54	5.38
AKEBSS	ake	Akawaio	3470	9.63	11303	8.34	23:40:25	2000	7.17	6.94
AKPWBT	akp	Siwu	2573	7.70	10721	6.33	18:53:34	2000	5.78	5.58
ALJOMF	alj	Alangan	12366	6.31	13959	5.93	22:53:23	2000	5.09	4.98
ALPWBT	alp	Alune	9737	6.92	11048	6.30	18:25:45	2000	5.36	5.22
ALSBSA	alb	Shqip	1545	8.22	5060	6.98	08:27:54	2000	5.93	5.73
ALSBSA	sqi	Shqip	1545	8.22	5060	6.98	08:27:54	2000	5.93	5.73
ALTIBT	alt	Altai, Southern	624	7.86	4969	7.16	09:23:27	2000	5.32	5.19
ALZBSU	alz	Alur	7369	7.90	11897	7.31	20:25:33	2000	6.28	5.99
AMFSIM	amf	Banna	9955	6.78	10292	6.49	17:18:36	2000	5.48	5.31
AMKWBT	amk	Ambai	11848	nan	13194	5.42	31:22:37	2000	4.50	4.42
ANNWBT	ann	Obolo	4593	8.40	3555	8.47	09:22:14	2000	7.80	7.49
ANVWBT	anv	Denya	1380	7.70	6813	6.66	14:19:13	2000	6.08	5.84
APDAS2	apd	العربية	623	7.79	2475	8.03	06:18:51	2000	7.69	7.36
APRWBT	apr	Arop-Lokep	13084	6.13	14944	6.21	30:52:28	2000	4.52	4.41
ARBIBS	arb	العربية	520	8.44	2225	7.91	06:00:54	1892	7.76	7.45
ARZVDV	arz	العربية	644	8.14	7217	7.36	16:25:54	2000	6.32	6.14
ATGWYI	atg	Okphela	4006	8.25	8144	7.66	16:29:48	2000	5.55	5.39
ATQLAI	atq	Aralle-Tabulahan	12761	6.45	13147	6.66	30:26:18	2000	5.41	5.29
AVAIBT	ava	Avar	1181	7.23	6815	6.00	13:08:45	2000	5.03	4.90
AVNWBT	avn	Sideme	3767	6.78	11528	6.33	23:52:43	2000	5.43	5.29
AVUWBT	avu	Avokaya	1417	7.38	8718	6.89	24:44:17	2000	5.92	5.75
AWAWTC	awa	Awadhi	6570	7.62	5998	7.37	17:49:56	2000	6.64	6.45
AWBTBL	awb	Awa for Papua New Guinea	4480	7.74	7769	7.78	18:25:40	2000	6.85	6.62
AYMBSB	ayr	Aymara, Central	6073	7.50	8048	7.33	16:18:31	2000	5.96	5.83
AYMSBU	ayr	Aymara, Central	4750	7.64	10920	7.18	18:37:02	2000	5.78	5.58
AZEBSA	azj	Azərbaycan, Şimali	1631	8.31	5325	6.84	08:04:28	2000	6.15	5.95
AZGTBL	azg	San Pedro Amuzgo	6503	7.13	7243	7.23	21:36:17	2000	7.04	6.84
AZZTBL	azz	Nahuatl, Highland Puebla	12158	6.59	17172	6.08	36:43:32	2000	5.05	4.94
BAKIBT	bak	Bashkir	1091	7.34	8999	6.00	14:46:01	2000	4.95	4.82
BAMLSB	bam	Bambara	4307	8.21	8870	7.51	12:06:45	2000	6.06	5.88
BANIBS	ban	Balinese	13172	6.62	14666	6.42	32:14:51	2000	4.63	4.53
BAVWBT	bav	Babungo	2891	7.50	8188	6.68	15:03:19	2000	5.86	5.67
BBABSB	bba	Bariba	3780	8.05	10694	7.22	15:38:23	2000	6.04	5.79
BBOBSB	bbo	Bobo Madaré, Northern	6983	8.12	7567	8.13	13:56:57	2000	7.43	7.06
BCLBPV	bcl	Bicolano, Central	8451	7.05	12685	6.46	19:39:05	2000	5.43	5.30
BCWWBT	bcw	Bana	1442	8.49	7697	7.19	11:52:01	2000	5.94	5.77
BEHWBT	beh	Biali	6072	8.03	9338	7.60	14:38:16	2000	5.94	5.67
BEPLAI	bep	Behoa	10907	6.76	11848	6.36	22:11:26	2000	5.04	4.92
BEXWBT	bex	Jur Modo	2873	7.33	8662	6.74	16:38:14	2000	5.70	5.46
BFABSS	bfa	Bari	8899	5.50	11334	5.20	22:27:17	2000	4.56	4.46
BFDWBT	bfd	Bafut	624	7.72	7435	7.34	17:49:18	2000	6.12	5.95
BFOBSB	bfo	Birifor, Northern	3073	8.11	8891	6.48	15:07:02	2000	5.60	5.38
BGRBBS	bgr	Bawm	9792	7.30	10870	6.79	20:46:49	2000	5.71	5.57
BHZLAI	bhz	Bada	10848	6.26	13033	5.38	21:52:11	2000	4.46	4.37
BIBWBT	bib	Bissa	1465	9.04	6247	7.70	09:38:14	2000	6.55	6.22
BIMWBT	bim	Bimoba	5557	7.98	9576	7.01	16:31:29	2000	5.99	5.80
BISBSP	bis	Bislama	12026	7.34	12458	6.67	26:29:20	2000	5.58	5.38
BIVWBT	biv	Birifor, Southern	1257	8.65	7692	7.56	12:57:27	2000	6.70	6.41
BJVWYI	bjv	Nangnda	1402	8.14	6711	7.03	10:49:30	2000	6.06	5.84
BKVWYI	bkv	Bekwarra	8344	7.74	11999	7.31	19:36:59	2000	5.89	5.67
